真实值	预测值
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Earthquake
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Cyclone
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Flood
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Cyclone
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Wildfire
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Cyclone
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Earthquake	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Cyclone
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Earthquake
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Cyclone
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Cyclone
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Wildfire
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Cyclone
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Cyclone
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Earthquake
Flood	Flood
Flood	Flood
Flood	Flood
Flood	Flood
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Earthquake
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Flood
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Earthquake
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Flood
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Earthquake
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Cyclone
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Earthquake
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Flood
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Flood
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Cyclone
Wildfire	Earthquake
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Wildfire
Wildfire	Flood
