Model_training_v1.py

2025-06-16 18:00:03,551 - INFO - 正在使用设备: cpu
2025-06-16 18:00:03,561 - INFO - 训练集大小: 3097 张图像, 验证集大小: 662 张图像
2025-06-16 18:00:03,696 - INFO - 初始化 ResNet18 模型，类别数: 4, 预训练: False
2025-06-16 18:01:37,263 - INFO - --- Epoch 1/25 训练完成, 平均损失: 1.3112 ---
2025-06-16 18:01:44,442 - INFO - 验证结果: 平均损失: 2.5861, 准确率: 210/662 (31.72%)
2025-06-16 18:03:20,959 - INFO - --- Epoch 2/25 训练完成, 平均损失: 0.9877 ---
2025-06-16 18:03:28,292 - INFO - 验证结果: 平均损失: 0.9970, 准确率: 395/662 (59.67%)
2025-06-16 18:05:04,445 - INFO - --- Epoch 3/25 训练完成, 平均损失: 0.9069 ---
2025-06-16 18:05:11,932 - INFO - 验证结果: 平均损失: 1.4156, 准确率: 338/662 (51.06%)
2025-06-16 18:06:48,309 - INFO - --- Epoch 4/25 训练完成, 平均损失: 0.7979 ---
2025-06-16 18:06:55,810 - INFO - 验证结果: 平均损失: 2.2080, 准确率: 320/662 (48.34%)
2025-06-16 18:08:31,917 - INFO - --- Epoch 5/25 训练完成, 平均损失: 0.6278 ---
2025-06-16 18:08:39,124 - INFO - 验证结果: 平均损失: 1.2287, 准确率: 376/662 (56.80%)
2025-06-16 18:10:16,504 - INFO - --- Epoch 6/25 训练完成, 平均损失: 0.4546 ---
2025-06-16 18:10:23,862 - INFO - 验证结果: 平均损失: 1.4243, 准确率: 396/662 (59.82%)
2025-06-16 18:11:59,960 - INFO - --- Epoch 7/25 训练完成, 平均损失: 0.3191 ---
2025-06-16 18:12:07,161 - INFO - 验证结果: 平均损失: 1.2535, 准确率: 398/662 (60.12%)
2025-06-16 18:13:43,554 - INFO - --- Epoch 8/25 训练完成, 平均损失: 0.2386 ---
2025-06-16 18:13:51,062 - INFO - 验证结果: 平均损失: 1.5844, 准确率: 416/662 (62.84%)
2025-06-16 18:15:28,643 - INFO - --- Epoch 9/25 训练完成, 平均损失: 0.1634 ---
2025-06-16 18:15:36,283 - INFO - 验证结果: 平均损失: 2.2143, 准确率: 376/662 (56.80%)
2025-06-16 18:17:17,774 - INFO - --- Epoch 10/25 训练完成, 平均损失: 0.2188 ---
2025-06-16 18:17:25,695 - INFO - 验证结果: 平均损失: 1.8986, 准确率: 397/662 (59.97%)
2025-06-16 18:19:06,833 - INFO - --- Epoch 11/25 训练完成, 平均损失: 0.1756 ---
2025-06-16 18:19:14,755 - INFO - 验证结果: 平均损失: 2.0316, 准确率: 396/662 (59.82%)
2025-06-16 18:20:56,658 - INFO - --- Epoch 12/25 训练完成, 平均损失: 0.1573 ---
2025-06-16 18:21:04,526 - INFO - 验证结果: 平均损失: 2.0514, 准确率: 400/662 (60.42%)
2025-06-16 18:22:46,839 - INFO - --- Epoch 13/25 训练完成, 平均损失: 0.1878 ---
2025-06-16 18:22:54,762 - INFO - 验证结果: 平均损失: 1.8582, 准确率: 398/662 (60.12%)
2025-06-16 18:24:36,702 - INFO - --- Epoch 14/25 训练完成, 平均损失: 0.1442 ---
2025-06-16 18:24:44,539 - INFO - 验证结果: 平均损失: 1.8021, 准确率: 405/662 (61.18%)
2025-06-16 18:26:23,760 - INFO - --- Epoch 15/25 训练完成, 平均损失: 0.1059 ---
2025-06-16 18:26:31,078 - INFO - 验证结果: 平均损失: 1.6428, 准确率: 430/662 (64.95%)
2025-06-16 18:28:08,261 - INFO - --- Epoch 16/25 训练完成, 平均损失: 0.0734 ---
2025-06-16 18:28:15,866 - INFO - 验证结果: 平均损失: 1.6500, 准确率: 443/662 (66.92%)
2025-06-16 18:29:57,421 - INFO - --- Epoch 17/25 训练完成, 平均损失: 0.0537 ---
2025-06-16 18:30:05,346 - INFO - 验证结果: 平均损失: 1.6868, 准确率: 430/662 (64.95%)
2025-06-16 18:31:46,769 - INFO - --- Epoch 18/25 训练完成, 平均损失: 0.0555 ---
2025-06-16 18:31:54,514 - INFO - 验证结果: 平均损失: 1.7346, 准确率: 435/662 (65.71%)
2025-06-16 18:33:34,440 - INFO - --- Epoch 19/25 训练完成, 平均损失: 0.0692 ---
2025-06-16 18:33:41,600 - INFO - 验证结果: 平均损失: 1.8325, 准确率: 428/662 (64.65%)
2025-06-16 18:35:16,657 - INFO - --- Epoch 20/25 训练完成, 平均损失: 0.0607 ---
2025-06-16 18:35:24,077 - INFO - 验证结果: 平均损失: 1.8930, 准确率: 437/662 (66.01%)
2025-06-16 18:36:59,303 - INFO - --- Epoch 21/25 训练完成, 平均损失: 0.0486 ---
2025-06-16 18:37:06,597 - INFO - 验证结果: 平均损失: 1.6773, 准确率: 435/662 (65.71%)
2025-06-16 18:38:42,429 - INFO - --- Epoch 22/25 训练完成, 平均损失: 0.0386 ---
2025-06-16 18:38:49,901 - INFO - 验证结果: 平均损失: 1.9059, 准确率: 438/662 (66.16%)
2025-06-16 18:40:26,584 - INFO - --- Epoch 23/25 训练完成, 平均损失: 0.0408 ---
2025-06-16 18:40:33,864 - INFO - 验证结果: 平均损失: 1.7522, 准确率: 432/662 (65.26%)
2025-06-16 18:42:09,172 - INFO - --- Epoch 24/25 训练完成, 平均损失: 0.0331 ---
2025-06-16 18:42:16,522 - INFO - 验证结果: 平均损失: 1.7701, 准确率: 424/662 (64.05%)
2025-06-16 18:43:52,231 - INFO - --- Epoch 25/25 训练完成, 平均损失: 0.0302 ---
2025-06-16 18:43:59,324 - INFO - 验证结果: 平均损失: 1.8038, 准确率: 445/662 (67.22%)
2025-06-16 18:43:59,369 - INFO - 模型参数已保存至: ./resnet18_0.01_source.pth
2025-06-16 18:43:59,369 - INFO - 共发现 639 张预测错误的图像，正在移动...
2025-06-16 18:43:59,395 - INFO - 已移动图像: 'data/val/Cyclone/630.jpg' 到 'trash/Cyclone/630.jpg'
2025-06-16 18:43:59,395 - INFO - 已移动图像: 'data/val/Earthquake/662.jpg' 到 'trash/Earthquake/662.jpg'
2025-06-16 18:43:59,395 - INFO - 已移动图像: 'data/val/Earthquake/60.jpg' 到 'trash/Earthquake/60.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Flood/173.jpg' 到 'trash/Flood/173.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Wildfire/772.jpg' 到 'trash/Wildfire/772.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Earthquake/239.jpg' 到 'trash/Earthquake/239.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Cyclone/596.jpg' 到 'trash/Cyclone/596.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Earthquake/1286.jpg' 到 'trash/Earthquake/1286.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Flood/904.jpg' 到 'trash/Flood/904.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Wildfire/585.jpg' 到 'trash/Wildfire/585.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Earthquake/387.jpg' 到 'trash/Earthquake/387.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Flood/347.jpg' 到 'trash/Flood/347.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Wildfire/903.jpg' 到 'trash/Wildfire/903.jpg'
2025-06-16 18:43:59,396 - INFO - 已移动图像: 'data/val/Flood/1046.jpg' 到 'trash/Flood/1046.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Earthquake/52.jpg' 到 'trash/Earthquake/52.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Cyclone/778.jpg' 到 'trash/Cyclone/778.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Earthquake/1314.jpg' 到 'trash/Earthquake/1314.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Flood/898.jpg' 到 'trash/Flood/898.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Cyclone/590.jpg' 到 'trash/Cyclone/590.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Earthquake/613.jpg' 到 'trash/Earthquake/613.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Wildfire/979.jpg' 到 'trash/Wildfire/979.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Flood/445.jpg' 到 'trash/Flood/445.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Earthquake/1215.jpg' 到 'trash/Earthquake/1215.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Earthquake/276.jpg' 到 'trash/Earthquake/276.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Cyclone/929.jpg' 到 'trash/Cyclone/929.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Cyclone/686.jpg' 到 'trash/Cyclone/686.jpg'
2025-06-16 18:43:59,397 - INFO - 已移动图像: 'data/val/Flood/273.jpg' 到 'trash/Flood/273.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Earthquake/1290.jpg' 到 'trash/Earthquake/1290.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Cyclone/419.jpg' 到 'trash/Cyclone/419.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Earthquake/1225.jpg' 到 'trash/Earthquake/1225.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Wildfire/51.jpg' 到 'trash/Wildfire/51.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Wildfire/981.jpg' 到 'trash/Wildfire/981.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Flood/944.jpg' 到 'trash/Flood/944.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Cyclone/229.jpg' 到 'trash/Cyclone/229.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Earthquake/183.jpg' 到 'trash/Earthquake/183.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Cyclone/527.jpg' 到 'trash/Cyclone/527.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Flood/314.jpg' 到 'trash/Flood/314.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Flood/995.jpg' 到 'trash/Flood/995.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Cyclone/29.jpg' 到 'trash/Cyclone/29.jpg'
2025-06-16 18:43:59,398 - INFO - 已移动图像: 'data/val/Earthquake/623.jpg' 到 'trash/Earthquake/623.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Cyclone/791.jpg' 到 'trash/Cyclone/791.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Cyclone/360.jpg' 到 'trash/Cyclone/360.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Earthquake/771.jpg' 到 'trash/Earthquake/771.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Wildfire/437.jpg' 到 'trash/Wildfire/437.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Cyclone/301.jpg' 到 'trash/Cyclone/301.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Wildfire/635.jpg' 到 'trash/Wildfire/635.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Wildfire/64.jpg' 到 'trash/Wildfire/64.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Earthquake/546.jpg' 到 'trash/Earthquake/546.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Earthquake/497.jpg' 到 'trash/Earthquake/497.jpg'
2025-06-16 18:43:59,399 - INFO - 已移动图像: 'data/val/Earthquake/441.jpg' 到 'trash/Earthquake/441.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Cyclone/366.jpg' 到 'trash/Cyclone/366.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Flood/1057.jpg' 到 'trash/Flood/1057.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Flood/242.jpg' 到 'trash/Flood/242.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Flood/821.jpg' 到 'trash/Flood/821.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Flood/544.jpg' 到 'trash/Flood/544.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Cyclone/493.jpg' 到 'trash/Cyclone/493.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Earthquake/519.jpg' 到 'trash/Earthquake/519.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Cyclone/49.jpg' 到 'trash/Cyclone/49.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Wildfire/220.jpg' 到 'trash/Wildfire/220.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Wildfire/356.jpg' 到 'trash/Wildfire/356.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Cyclone/314.jpg' 到 'trash/Cyclone/314.jpg'
2025-06-16 18:43:59,400 - INFO - 已移动图像: 'data/val/Cyclone/202.jpg' 到 'trash/Cyclone/202.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Cyclone/387.jpg' 到 'trash/Cyclone/387.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Flood/1036.jpg' 到 'trash/Flood/1036.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Flood/205.jpg' 到 'trash/Flood/205.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Earthquake/934.jpg' 到 'trash/Earthquake/934.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Wildfire/824.jpg' 到 'trash/Wildfire/824.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Flood/1013.jpg' 到 'trash/Flood/1013.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Wildfire/11.jpg' 到 'trash/Wildfire/11.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Earthquake/1003.jpg' 到 'trash/Earthquake/1003.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Wildfire/729.jpg' 到 'trash/Wildfire/729.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Wildfire/978.jpg' 到 'trash/Wildfire/978.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Wildfire/231.jpg' 到 'trash/Wildfire/231.jpg'
2025-06-16 18:43:59,401 - INFO - 已移动图像: 'data/val/Flood/1042.jpg' 到 'trash/Flood/1042.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Wildfire/937.jpg' 到 'trash/Wildfire/937.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Earthquake/252.jpg' 到 'trash/Earthquake/252.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Flood/316.jpg' 到 'trash/Flood/316.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Flood/343.jpg' 到 'trash/Flood/343.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Cyclone/106.jpg' 到 'trash/Cyclone/106.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Flood/123.jpg' 到 'trash/Flood/123.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Earthquake/793.jpg' 到 'trash/Earthquake/793.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Flood/511.jpg' 到 'trash/Flood/511.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Earthquake/572.jpg' 到 'trash/Earthquake/572.jpg'
2025-06-16 18:43:59,402 - INFO - 已移动图像: 'data/val/Earthquake/383.jpg' 到 'trash/Earthquake/383.jpg'
